Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Dir_norml_PAR_photn_flux
.7090E+03 .1138E+01 .9336E-01 .6742E+01
.7100E+03 .1142E+01 .9352E-01 .6781E+01
.7110E+03 .1142E+01 .9329E-01 .6790E+01
.7120E+03 .1137E+01 .9262E-01 .6768E+01
.7130E+03 .1122E+01 .9116E-01 .6688E+01
.7140E+03 .1133E+01 .9168E-01 .6762E+01
.7150E+03 .1090E+01 .8804E-01 .6517E+01
.7160E+03 .1101E+01 .8865E-01 .6587E+01
.7170E+03 .9143E+00 .7427E-01 .5480E+01
.7180E+03 .8457E+00 .6833E-01 .5076E+01
.7190E+03 .7552E+00 .6064E-01 .4539E+01
.7200E+03 .8024E+00 .6460E-01 .4829E+01
.7210E+03 .9104E+00 .7263E-01 .5487E+01
.7220E+03 .1068E+01 .8482E-01 .6446E+01
.7230E+03 .9715E+00 .7694E-01 .5872E+01
.7240E+03 .8796E+00 .6958E-01 .5324E+01
.7250E+03 .8591E+00 .6796E-01 .5207E+01
.7260E+03 .8971E+00 .7096E-01 .5445E+01
.7270E+03 .9117E+00 .7145E-01 .5540E+01
.7280E+03 .8594E+00 .6752E-01 .5230E+01
.7290E+03 .8802E+00 .6863E-01 .5364E+01
.7300E+03 .9491E+00 .7407E-01 .5792E+01
.7310E+03 .8950E+00 .6960E-01 .5469E+01
.7320E+03 .9817E+00 .7588E-01 .6007E+01
.7330E+03 .1034E+01 .7948E-01 .6335E+01
.7340E+03 .1073E+01 .8214E-01 .6584E+01
.7350E+03 .1056E+01 .8062E-01 .6486E+01
.7360E+03 .1046E+01 .7967E-01 .6434E+01
.7370E+03 .1044E+01 .7928E-01 .6432E+01
.7380E+03 .1075E+01 .8118E-01 .6632E+01
.7390E+03 .1043E+01 .7852E-01 .6445E+01
.7400E+03 .1073E+01 .8041E-01 .6635E+01
.7410E+03 .1071E+01 .7999E-01 .6633E+01
.7420E+03 .1074E+01 .7991E-01 .6659E+01
.7430E+03 .1097E+01 .8135E-01 .6813E+01
.7440E+03 .1107E+01 .8180E-01 .6887E+01
.7450E+03 .1108E+01 .8159E-01 .6902E+01
.7460E+03 .1106E+01 .8120E-01 .6898E+01
.7470E+03 .1107E+01 .8104E-01 .6915E+01
.7480E+03 .1101E+01 .8032E-01 .6885E+01
.7490E+03 .1098E+01 .7982E-01 .6874E+01
.7500E+03 .1097E+01 .7953E-01 .6876E+01
.7510E+03 .1092E+01 .7901E-01 .6857E+01
.7520E+03 .1097E+01 .7912E-01 .6893E+01
.7530E+03 .1091E+01 .7851E-01 .6870E+01
.7540E+03 .1105E+01 .7929E-01 .6968E+01
.7550E+03 .1102E+01 .7887E-01 .6958E+01
.7560E+03 .1089E+01 .7773E-01 .6885E+01
.7570E+03 .1089E+01 .7747E-01 .6889E+01
.7580E+03 .1095E+01 .7773E-01 .6941E+01
.7590E+03 .1058E+01 .7498E-01 .6712E+01
.7600E+03 .1201E+00 .1137E-01 .7627E+00
.7610E+03 .5432E-01 .5895E-02 .3456E+00
.7620E+03 .4789E+00 .3657E-01 .3051E+01
.7630E+03 .2018E+00 .1738E-01 .1287E+01
.7640E+03 .3353E+00 .2671E-01 .2142E+01
.7650E+03 .4778E+00 .3616E-01 .3056E+01
.7660E+03 .6226E+00 .4533E-01 .3987E+01
.7670E+03 .8022E+00 .5676E-01 .5143E+01
.7680E+03 .9659E+00 .6706E-01 .6201E+01
